# Plantilla Reporte PV | PigVision — Asimetrix
# Columnas requeridas: Compania, Granja, Lote, Fecha, Semana, Edad_dias, Peso_Promedio_kg, Cabezas, PC_Referencia_kg
# El GDP se calcula automáticamente a partir de los pesos consecutivos.
# Formato de fecha: YYYY-MM-DD | Decimales con punto (.) | PC_Referencia_kg es opcional
Compania,Granja,Lote,Fecha,Semana,Edad_dias,Peso_Promedio_kg,Cabezas,PC_Referencia_kg
AgroPremex,Granja Norte,Lote-2024-001,2024-01-08,1,7,2.1,1200,2.2
AgroPremex,Granja Norte,Lote-2024-001,2024-01-15,2,14,3.8,1197,4.0
AgroPremex,Granja Norte,Lote-2024-001,2024-01-22,3,21,6.2,1194,6.5
AgroPremex,Granja Norte,Lote-2024-001,2024-01-29,4,28,9.5,1189,10.0
AgroPremex,Granja Norte,Lote-2024-001,2024-02-05,5,35,13.8,1184,14.5
AgroPremex,Granja Norte,Lote-2024-001,2024-02-12,6,42,18.9,1180,19.8
AgroPremex,Granja Norte,Lote-2024-001,2024-02-19,7,49,24.5,1176,25.7
AgroPremex,Granja Norte,Lote-2024-001,2024-02-26,8,56,30.8,1172,32.3
AgroPremex,Granja Norte,Lote-2024-001,2024-03-04,9,63,37.4,1168,39.3
AgroPremex,Granja Norte,Lote-2024-001,2024-03-11,10,70,44.1,1165,46.3
AgroPremex,Granja Norte,Lote-2024-001,2024-03-18,11,77,51.2,1161,53.8
AgroPremex,Granja Norte,Lote-2024-001,2024-03-25,12,84,57.8,1158,60.7
AgroPremex,Granja Norte,Lote-2024-001,2024-04-01,13,91,64.1,1155,67.3
AgroPremex,Granja Norte,Lote-2024-001,2024-04-08,14,98,70.0,1152,73.5
AgroPremex,Granja Norte,Lote-2024-001,2024-04-15,15,105,75.5,1149,79.3
AgroPremex,Granja Norte,Lote-2024-001,2024-04-22,16,112,80.5,1147,84.5
AgroPremex,Granja Norte,Lote-2024-001,2024-04-29,17,119,85.1,1144,89.4
AgroPremex,Granja Norte,Lote-2024-001,2024-05-06,18,126,89.2,1142,93.7
AgroPremex,Granja Norte,Lote-2024-001,2024-05-13,19,133,93.0,1140,97.7
AgroPremex,Granja Norte,Lote-2024-001,2024-05-20,20,140,96.4,1138,101.2
AgroPremex,Granja Norte,Lote-2024-002,2024-03-04,1,7,2.3,1150,2.4
AgroPremex,Granja Norte,Lote-2024-002,2024-03-11,2,14,4.1,1148,4.3
AgroPremex,Granja Norte,Lote-2024-002,2024-03-18,3,21,6.6,1146,6.9
AgroPremex,Granja Norte,Lote-2024-002,2024-03-25,4,28,10.0,1143,10.5
AgroPremex,Granja Norte,Lote-2024-002,2024-04-01,5,35,14.5,1140,15.2
